rank,channel,total_clips,affected_by,sued_over
6067,officialswfc,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6068,Misterios Sin Resolver,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6069,bromefields,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6070,darksydephil,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6071,Bumblebee Junction,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6072,Jessie B,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6073,Joyfilled Journey,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6074,CNET en Español,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6075,FragranceView,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6076,LV Insurance County Championship,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6077,Winning Tints,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6078,HiTechLegion,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6079,Braille Skateboarding на Русском,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6080,Sneha S,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6081,Emma Pritchard,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6082,teppichkopf,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6083,Abbyefied,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6084,Yazmin Mota,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6085,Alien's Guide,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6086,supermanualidades,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6087,Living Traditions Homestead,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6088,Null Byte,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6089,FeelFIFA,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6090,It's all in a Nutshell Crochet,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6091,ThePhillippis,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6092,Rafael Oliveira,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6093,Tatiana Boyd,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6094,Appalachia's Homestead with Patara,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6095,Uzoo,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6096,Dani Lauren,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6097,Pat the NES Punk,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6098,Cutlery and More,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6099,hispacocina,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6100,Programa Xuxa Meneghel,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6101,Holly Dolke,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6102,ToadFilms,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6103,Bike or Board,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6104,Bart Baker,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6105,LearnWake,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6106,Desus & Mero,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6107,makemegenius,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6108,VLSkate,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6109,Young Living Essential Oils,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6110,FifaTipzHD,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6111,Gena Marie,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6112,Claudius Vertesi,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6113,CashNasty,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6114,Magic: The Gathering,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6115,Tecnologia & Nostalgia,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6116,Sea-Money Fishing,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6117,Totally Grace,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6118,Ubira Leal,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6119,BritishAthleticsTV,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6120,MCGamerCZ,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6121,How Jen Does It,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6122,Jess Beautician,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6123,MeioKilo,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6124,Education 4u,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6125,iPhoneItalia,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6126,The Trudgians,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6127,Nomadic Fanatic,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6128,Goal Guys,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6129,OmniOmegaOB,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6130,Vicevice,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6131,Avanti Morocha,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6132,Caitlin's Corner,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6133,Petites Observations Automobiles,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6134,ringpolska,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6135,NerosCinema,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6136,seejanedrill,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6137,KL (arctic),7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6138,HeelvsBabyface,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6139,DIY with Michael Borders,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6140,Rhett & Link’s Wonderhole,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6141,XboxViewTV,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6142,Silas Nacita,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6143,InTheWorks,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6144,Matt's Shop,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6145,Soki,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6146,Cindy Barillet | Pastels et peintures,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6147,Sunwarrior,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6148,CookingWithPlants,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6149,BRKsDATO,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6150,Sailing Zatara,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6151,Ryan Hollinger,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6152,Standing Stone Kennels,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6153,AppleTheme,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6154,TheClickBaitChannel,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6155,bestdrinkrecipes,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6156,BCtruck,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6157,BC Blades,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6158,Simon Holland - Science Filmmaker,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6159,Mama Natural,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6160,CodFlaws,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6161,Jake Dufner,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6162,Droid Life,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6163,DailyPolina,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6164,SmartWorld,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6165,Running Wild,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6166,Vandaag Inside,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6167,SUPboarder,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6168,IBSF Bobsleigh & Skeleton,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6169,Kristopher London,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6170,Toy Stars,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6171,The Alaskan Outsider,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6172,倉田夏覚醒編,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6173,Living a Good Story,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6174,TVSins,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6175,LavenderTowne,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6176,MiDNiTE MN,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6177,Steve the Bartender,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6178,피기보이 PiggyBoy,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6179,Brodual,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6180,Flux HD,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6181,Abby Pollock,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6182,PaleoCris,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6183,meg.antinucci,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6184,Farmhouse on Boone,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6185,L'angolo di Saidori,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6186,DeeMon,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6187,Scotland National Team,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6188,Evan Ranft,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6189,theTrumpet,7,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6190,Destination Door County,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6191,jjongine,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6192,Margot Brown,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6193,행복이 쏠쏠 SoulofSol,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6194,Tiny House Giant Journey,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6195,Nate Murphy,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6196,Wicked Goodies,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6197,Pop Culture Detective,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6198,Farmer Derek,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6199,Avery Miller,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6200,Brandon Marshall,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6201,Andrew Camarata,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6202,Addicted Fishing,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6203,NDE Accounts - Afterlife Stories,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6204,Chubbyemu,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6205,Wholesale Supplies Plus,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6206,sutats,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6207,Barney the Dinosaur,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6208,Lorrie Popow,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6209,Melissa Muir,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6210,Lalit Kumar Kitchen,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6211,AdventureDex,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6212,Dylan's DIY Workshop,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6213,Gid Joiner,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6214,RandomTopicsWithHumor,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6215,VSB defense,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6216,Steve Quayle,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6217,Harshi's Kitchen,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6218,Jump Rope Dudes,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6219,Andy Mechanic,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6220,Trin Lovell,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6221,ReecieDIY,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6222,VoiceOfThunder,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6223,VaatiVidya,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6224,MotorOctane,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6225,Eternal Stationery,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6226,Yana Smakula,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6227,Chef Rachida,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6228,Fishing with Rod,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6229,Lorena's Quilting,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6230,videogamedunkey,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6231,Jason Blaha's Strength and Fitness,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6232,FnA Van Life,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6233,Celebrity WotNot,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6234,Caty Culp,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6235,So Woolly,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6236,Thamil virundhu,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6237,Meeker Extreme,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6238,Tom Brueggen,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6239,Develop Awesome Skills,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6240,Pete's Garage,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6241,Mitch Cox Videos,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6242,Thai Sabai,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6243,Jer Schmidt,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6244,RafiRaffee,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6245,Girlybunches,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6246,rachelbeth,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6247,Prima Coffee Equipment,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6248,Masaman,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6249,Robin Keep It Real,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6250,BabyLeague,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6251,Shake the Future,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6252,GURUNG DIIPA “Makeup & Skincare” [GDiipa],6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6253,Pask Makes,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6254,Izzy Laif,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6255,The Black Trumpeter,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6256,Johnny Eric M.,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6257,Tim Milgram,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6258,Crawl Space Ninja & Basement Ninja,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6259,Volksgeist,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6260,Rob The Robot,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6261,Keyk,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6262,Wendi Phan,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6263,Crafty Cheli,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6264,Daniel Romero,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6265,Jules Askalotl,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6266,The Lucky Needle,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6267,Brian Benham - Artist • Designer • Craftsman,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6268,VisualArts,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6269,Brandon Lund,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6270,Cal McKinley,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6271,The Game Theorists,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6272,Hacker Shack,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6273,Lata's Kitchen,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6274,Likely,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6275,Brian McLogan,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6276,Magic Mitch,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6277,mygiguser,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6278,LuckyVitamin,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6279,Andy Slye,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6280,Verusca Walker,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6281,Sheep & Stitch,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6282,Candida Hub,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6283,The Gunman,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6284,Lana LeStrange,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6285,Redacted,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6286,Richard Lloyd,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6287,Olivia's Romantic Home,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6288,CraftyRenate,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6289,Gentleman's Gazette,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6290,The Garden Of Feodora,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6291,Bini the Bunny,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6292,Robojax,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6293,Football Boots,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6294,My Green Closet,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6295,Victor Marx,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6296,Proko,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6297,Patrick (H) Willems,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6298,Gorbit,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6299,Martin Johnson - Off Grid Living,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6300,Mark Kulek,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6301,Gawx Art,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6302,TAL Ceiling Fans,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6303,Summit Or Nothing,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6304,UKGardening,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6305,Succulents and Sunshine,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6306,Madras Samayal,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6307,Mr.Wrath,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6308,HoomanTV,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6309,Ed Verosky,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6310,furulevi,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6311,DOPE or NOPE,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6312,Alderman Farms,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6313,The Easy Vegan,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6314,Guy Tang,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6315,Nada Makes,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6316,Cata Body & Table,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6317,Olivia Budgen,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6318,The Bite Shot,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6319,Model Minutes,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6320,The Anne Boleyn Files and Tudor Society,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6321,ASimplySimpleLife,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6322,RT,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6323,This Dude Bakes,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6324,Low Carb,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6325,Embrace Making,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6326,Јоhn “HEADSMASHER” Daniel,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6327,FriedandTasted,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6328,LeadersBasement,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6329,Chef Jana,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6330,The Dust Patrol,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6331,Pest and Lawn Ginja,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6332,Google Earth,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6333,How-To Guide,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6334,Legacy Handyman,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6335,FatForWeightLoss,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6336,Alfredo Mancuso,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6337,Lotte Roach,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6338,Sierra Dallas,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6339,Jaclyn Hill,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6340,Fondantboss,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6341,Jeff Lepard,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6342,Discount Low Voltage,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6343,GRRRLTRAVELER | Christine Kaaloa,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6344,Advanced Knife Bro,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6345,conquryourfear & do it urself,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6346,LOCO MiXO,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6347,Crazy Beautiful Homeschool,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6348,Jonna Martinez,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6349,ToolBox Divas,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6350,Niomi Smart,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
6351,Red Bull Skateboarding,6,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
